split,image_path,label
train,data\processed\synthetic\images\synthetic_0007.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0095.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0022.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0088.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0017.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0039.jpg,standstill
train,data\processed\synthetic\images\synthetic_0027.jpg,standstill
train,data\processed\synthetic\images\synthetic_0086.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0058.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0026.jpg,slow_moving
train,data\processed\synthetic\images\synthetic_0082.jpg,heavy_traffic
train,data\processed\synthetic\images\synthetic_0049.jpg,free_flow
train,data\processed\synthetic\images\synthetic_0066.jpg,standstill
val,data\processed\synthetic\images\synthetic_0081.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0083.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0044.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0054.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0067.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0069.jpg,standstill
val,data\processed\synthetic\images\synthetic_0078.jpg,heavy_traffic
val,data\processed\synthetic\images\synthetic_0031.jpg,heavy_traffic
val,data\processed\synthetic\images\synthetic_0076.jpg,free_flow
val,data\processed\synthetic\images\synthetic_0037.jpg,standstill
val,data\processed\synthetic\images\synthetic_0073.jpg,standstill
val,data\processed\synthetic\images\synthetic_0030.jpg,heavy_traffic
val,data\processed\synthetic\images\synthetic_0057.jpg,slow_moving
val,data\processed\synthetic\images\synthetic_0060.jpg,heavy_traffic
test,data\processed\synthetic\images\synthetic_0006.jpg,standstill
test,data\processed\synthetic\images\synthetic_0068.jpg,heavy_traffic
test,data\processed\synthetic\images\synthetic_0051.jpg,free_flow
test,data\processed\synthetic\images\synthetic_0092.jpg,slow_moving
test,data\processed\synthetic\images\synthetic_0033.jpg,slow_moving
test,data\processed\synthetic\images\synthetic_0004.jpg,slow_moving
test,data\processed\synthetic\images\synthetic_0042.jpg,free_flow
test,data\processed\synthetic\images\synthetic_0053.jpg,free_flow
test,data\processed\synthetic\images\synthetic_0046.jpg,free_flow
test,data\processed\synthetic\images\synthetic_0059.jpg,heavy_traffic
test,data\processed\synthetic\images\synthetic_0013.jpg,standstill
test,data\processed\synthetic\images\synthetic_0003.jpg,free_flow
test,data\processed\synthetic\images\synthetic_0070.jpg,standstill
test,data\processed\synthetic\images\synthetic_0020.jpg,slow_moving
test,data\processed\synthetic\images\synthetic_0016.jpg,free_flow
